rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,stop_loss_percent,take_profit_percent,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,consistency_percent,score,status
1,V3-000108,Original,0.5,5,30,2.0,8.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
2,V3-000109,Original,0.5,5,30,2.0,10.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
3,V3-000110,Original,0.5,5,30,2.0,12.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
4,V3-000113,Original,0.5,5,30,2.5,8.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
5,V3-000114,Original,0.5,5,30,2.5,10.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
6,V3-000115,Original,0.5,5,30,2.5,12.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
7,V3-000118,Original,0.5,5,30,3.0,8.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
8,V3-000119,Original,0.5,5,30,3.0,10.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
9,V3-000120,Original,0.5,5,30,3.0,12.0,0,0.9506,1.0609,0.5789,0.0329,0.1814,10.0,0.0,84.7371,REJECT
10,V3-000107,Original,0.5,5,30,2.0,6.0,0,0.8989,1.0861,0.5789,0.006,0.1814,10.0,0.0,84.6606,REJECT
11,V3-000112,Original,0.5,5,30,2.5,6.0,0,0.8989,1.0861,0.5789,0.006,0.1814,10.0,0.0,84.6606,REJECT
12,V3-000117,Original,0.5,5,30,3.0,6.0,0,0.8989,1.0861,0.5789,0.006,0.1814,10.0,0.0,84.6606,REJECT
13,V3-000102,Original,0.5,5,30,1.5,6.0,0,0.8989,1.0754,0.5789,0.006,0.2698,10.0,0.0,84.6003,REJECT
14,V3-000103,Original,0.5,5,30,1.5,8.0,0,0.9076,1.0502,0.5789,0.0329,0.2698,10.0,0.0,84.5478,REJECT
15,V3-000104,Original,0.5,5,30,1.5,10.0,0,0.9076,1.0502,0.5789,0.0329,0.2698,10.0,0.0,84.5478,REJECT
16,V3-000105,Original,0.5,5,30,1.5,12.0,0,0.9076,1.0502,0.5789,0.0329,0.2698,10.0,0.0,84.5478,REJECT
17,V3-000106,Original,0.5,5,30,2.0,4.0,0,0.6645,0.7978,0.5955,0.0046,0.1814,10.0,0.0,83.5393,REJECT
18,V3-000111,Original,0.5,5,30,2.5,4.0,0,0.6645,0.7978,0.5955,0.0046,0.1814,10.0,0.0,83.5393,REJECT
19,V3-000116,Original,0.5,5,30,3.0,4.0,0,0.6645,0.7978,0.5955,0.0046,0.1814,10.0,0.0,83.5393,REJECT
20,V3-000101,Original,0.5,5,30,1.5,4.0,0,0.6441,0.7871,0.5955,0.0046,0.2698,10.0,0.0,83.4176,REJECT
21,V3-000082,Original,0.5,5,20,2.0,6.0,0,0.6025,0.6596,0.0776,0.005,0.1814,10.0,0.0,82.7568,REJECT
22,V3-000087,Original,0.5,5,20,2.5,6.0,0,0.6025,0.6596,0.0776,0.005,0.1814,10.0,0.0,82.7568,REJECT
23,V3-000092,Original,0.5,5,20,3.0,6.0,0,0.6025,0.6596,0.0776,0.005,0.1814,10.0,0.0,82.7568,REJECT
24,V3-000097,Original,0.5,5,20,4.0,6.0,0,0.6025,0.6596,0.0776,0.005,0.1814,10.0,0.0,82.7568,REJECT
25,V3-000083,Original,0.5,5,20,2.0,8.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
26,V3-000084,Original,0.5,5,20,2.0,10.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
27,V3-000085,Original,0.5,5,20,2.0,12.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
28,V3-000088,Original,0.5,5,20,2.5,8.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
29,V3-000089,Original,0.5,5,20,2.5,10.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
30,V3-000090,Original,0.5,5,20,2.5,12.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
31,V3-000093,Original,0.5,5,20,3.0,8.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
32,V3-000094,Original,0.5,5,20,3.0,10.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
33,V3-000095,Original,0.5,5,20,3.0,12.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
34,V3-000098,Original,0.5,5,20,4.0,8.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
35,V3-000099,Original,0.5,5,20,4.0,10.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
36,V3-000100,Original,0.5,5,20,4.0,12.0,0,0.6025,0.6572,0.0776,0.0079,0.1814,10.0,0.0,82.7488,REJECT
37,V3-000077,Original,0.5,5,20,1.5,6.0,0,0.6025,0.6489,0.0776,0.005,0.2698,10.0,0.0,82.6966,REJECT
38,V3-000078,Original,0.5,5,20,1.5,8.0,0,0.6025,0.6465,0.0776,0.0079,0.2698,10.0,0.0,82.6886,REJECT
39,V3-000079,Original,0.5,5,20,1.5,10.0,0,0.6025,0.6465,0.0776,0.0079,0.2698,10.0,0.0,82.6886,REJECT
40,V3-000080,Original,0.5,5,20,1.5,12.0,0,0.6025,0.6465,0.0776,0.0079,0.2698,10.0,0.0,82.6886,REJECT
41,V3-000081,Original,0.5,5,20,2.0,4.0,0,0.5956,0.5637,0.0776,0.0046,0.1814,10.0,0.0,82.5928,REJECT
42,V3-000086,Original,0.5,5,20,2.5,4.0,0,0.5956,0.5637,0.0776,0.0046,0.1814,10.0,0.0,82.5928,REJECT
43,V3-000091,Original,0.5,5,20,3.0,4.0,0,0.5956,0.5637,0.0776,0.0046,0.1814,10.0,0.0,82.5928,REJECT
44,V3-000096,Original,0.5,5,20,4.0,4.0,0,0.5956,0.5637,0.0776,0.0046,0.1814,10.0,0.0,82.5928,REJECT
45,V3-000076,Original,0.5,5,20,1.5,4.0,0,0.5956,0.553,0.0776,0.0046,0.2698,10.0,0.0,82.5327,REJECT
