rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,stop_loss_percent,take_profit_percent,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,consistency_percent,score,status
1,V3-000904,Original,0.5,16,5,1.5,10.0,8,1.9909,2.2077,-0.8924,1.6352,4.7006,1.4557,87.5,32.9575,WALK_FORWARD_FINALIST
2,V3-000454,Original,0.5,10,5,1.5,10.0,8,1.9928,2.2583,-0.9161,1.7123,4.8573,1.4646,87.5,32.8979,WALK_FORWARD_FINALIST
3,V3-000754,Original,0.5,14,5,1.5,10.0,8,1.8493,2.1634,-0.8924,1.6919,4.9187,1.467,87.5,32.3629,WALK_FORWARD_FINALIST
4,V3-000905,Original,0.5,16,5,1.5,12.0,8,1.7702,2.1937,-0.8924,1.6994,4.7006,1.4676,87.5,32.2738,WALK_FORWARD_FINALIST
5,V3-000903,Original,0.5,16,5,1.5,8.0,8,1.7625,2.0321,-0.8924,1.5924,4.7006,1.4447,87.5,31.985,WALK_FORWARD_FINALIST
6,V3-000604,Original,0.5,12,5,1.5,10.0,8,1.8494,2.1575,-0.8924,1.7106,5.1359,1.4375,87.5,31.9807,WALK_FORWARD_FINALIST
7,V3-000455,Original,0.5,10,5,1.5,12.0,8,1.6869,2.2903,-0.9161,1.7577,4.8573,1.4646,87.5,31.9602,WALK_FORWARD_FINALIST
8,V3-000154,Original,0.5,7,5,1.5,10.0,8,1.882,2.2147,-1.6442,1.4974,5.0751,1.4356,87.5,31.9357,WALK_FORWARD_FINALIST
9,V3-000005,Original,0.5,5,5,1.5,12.0,8,1.9478,2.1945,-1.6442,1.4968,5.0749,1.536,81.25,31.6575,WALK_FORWARD_FINALIST
10,V3-000004,Original,0.5,5,5,1.5,10.0,8,1.9535,2.154,-1.6442,1.4777,5.0749,1.4518,84.38,31.5937,WALK_FORWARD_FINALIST
11,V3-000155,Original,0.5,7,5,1.5,12.0,8,1.7702,2.2364,-1.6442,1.6244,5.0751,1.4384,87.5,31.4652,WALK_FORWARD_FINALIST
12,V3-000305,Original,0.5,8,5,1.5,12.0,8,1.6753,2.073,-1.2553,1.7622,4.8573,1.434,87.5,31.0937,WALK_FORWARD_FINALIST
13,V3-000755,Original,0.5,14,5,1.5,12.0,8,1.5611,2.1397,-0.8924,1.756,4.9187,1.4275,87.5,31.05,WALK_FORWARD_FINALIST
