rank,strategy_name,net_profit_amount,net_profit_percent,max_drawdown_amount,max_drawdown_percent,profitable_trades_percent,profit_factor,closed_trades,score
1,UT Original,5513.71,5.5137,6.47,0.0064,100.0,999.0,6,16.6522
2,UT + MACD,5513.71,5.5137,6.47,0.0064,100.0,999.0,6,16.6522
3,UT + ADX,5513.71,5.5137,6.47,0.0064,100.0,999.0,6,16.6522
4,UT + Smoothed Heiken Ashi,5513.71,5.5137,6.47,0.0064,100.0,999.0,6,16.6522
5,UT + RSI,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
6,UT + RSI + MACD,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
7,UT + B-Xtrender Style,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
8,UT + Linear Regression Trend,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
9,UT + ADR Volatility,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
10,UT + B-Xtrender Style + Linear Regression,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
11,UT + B-Xtrender Style + Smoothed Heiken Ashi,4936.72,4.9367,3.0,0.003,100.0,999.0,5,13.7334
12,UT + EMA50,4428.64,4.4286,6.42,0.0064,100.0,999.0,5,13.6056
13,UT + EMA200,4428.64,4.4286,6.42,0.0064,100.0,999.0,5,13.6056
14,UT + EMA200 + MACD,4428.64,4.4286,6.42,0.0064,100.0,999.0,5,13.6056
15,UT + EMA200 + ADX,4428.64,4.4286,6.42,0.0064,100.0,999.0,5,13.6056
16,UT + EMA200 + Smoothed Heiken Ashi,4428.64,4.4286,6.42,0.0064,100.0,999.0,5,13.6056
17,UT + EMA200 + RSI,3857.58,3.8576,2.95,0.0029,100.0,999.0,4,10.7709
18,UT + EMA200 + B-Xtrender Style,3857.58,3.8576,2.95,0.0029,100.0,999.0,4,10.7709
19,UT + EMA200 + Linear Regression,3857.58,3.8576,2.95,0.0029,100.0,999.0,4,10.7709
20,UT + All Alternative Filters,3857.58,3.8576,2.95,0.0029,100.0,999.0,4,10.7709
21,UT + Relative Volume,2928.72,2.9287,2.95,0.0029,100.0,999.0,3,7.9389
22,UT + EMA200 + Relative Volume,2928.72,2.9287,2.95,0.0029,100.0,999.0,3,7.9389
23,UT + RSI + Relative Volume,2928.72,2.9287,2.95,0.0029,100.0,999.0,3,7.9389
24,UT + EMA100,1521.72,1.5217,6.36,0.0063,100.0,999.0,2,5.1515
25,UT + Volume Spike,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
26,UT + EMA200 + Volume Spike,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
