fold,model,model_accuracy,model_roc_auc,total_return,maximum_drawdown,trades,win_rate,profit_factor,exposure
1,random_forest,0.40370370370370373,0.37068010633584403,-0.0011624311183894287,-0.016877491984955362,10,0.4,0.9498659235508673,0.6444444444444445
1,xgboost,0.48518518518518516,0.3966548515728844,0.003034354737682099,-0.01698332305495065,10,0.7,1.1844669337250537,0.6666666666666666
1,lightgbm,0.5074074074074074,0.48571112095702257,0.007121158484076462,-0.015176433902720943,8,0.625,1.4468369421709921,0.5259259259259259
1,catboost,0.48518518518518516,0.44079530350022156,0.006008525624066285,-0.015176433902720943,9,0.6666666666666666,1.340282561733632,0.6111111111111112
2,random_forest,0.6370370370370371,0.5673076923076923,0.002687101081157328,-0.009453713840025468,10,0.7,1.1756079477379036,0.7407407407407407
2,xgboost,0.5962962962962963,0.5386583445793972,-0.00022285286683987326,-0.008258782624496863,10,0.6,0.9884331651623481,0.7407407407407407
2,lightgbm,0.6185185185185185,0.5876068376068375,-0.0010994856087507276,-0.009743682105721296,10,0.5,0.9420935042148624,0.7407407407407407
2,catboost,0.6296296296296297,0.6343904633378318,-0.0016469598132961005,-0.010473513095072384,11,0.36363636363636365,0.9136171867279284,0.8148148148148148
3,random_forest,0.5703703703703704,0.5809231106964492,-0.0072775682192545155,-0.019560612313795467,10,0.5,0.6432212836746268,0.7333333333333333
3,xgboost,0.5407407407407407,0.6167608803029471,0.0024340466445338382,-0.021048719796117443,12,0.5,1.149116203286757,0.8333333333333334
3,lightgbm,0.5296296296296297,0.59360079029691,-0.001169016900638753,-0.018562473766517318,12,0.5,0.9584213676335454,0.8555555555555555
3,catboost,0.4962962962962963,0.5634158388672411,-0.0037403205396744355,-0.018562473766517318,11,0.45454545454545453,0.8162646700119323,0.7592592592592593
4,random_forest,0.5333333333333333,0.5258297258297258,0.01167587032214401,-0.008859719960132684,8,0.75,3.99687348515297,0.5851851851851851
4,xgboost,0.5185185185185185,0.5016450216450217,0.005850916853818333,-0.006943742897264182,8,0.625,1.898451271336697,0.5925925925925926
4,lightgbm,0.4962962962962963,0.5020490620490621,0.006158802497891802,-0.009664373666154025,9,0.6666666666666666,1.7535374569782847,0.6666666666666666
4,catboost,0.5444444444444444,0.5322943722943723,0.011580301621507028,-0.010082201475526187,10,0.7,2.6140967078446025,0.737037037037037
5,random_forest,0.3148148148148148,0.5897360488199397,0.013892366503572617,-0.004451826420901028,4,1.0,inf,0.2962962962962963
5,xgboost,0.42962962962962964,0.567458275126829,0.03020514737623481,-0.006393795406652858,8,0.875,54.97934456086311,0.5925925925925926
5,lightgbm,0.32592592592592595,0.6075288581721933,0.013847805854411366,-0.003964753969448398,5,0.8,25.929217052692525,0.37037037037037035
5,catboost,0.2851851851851852,0.513859275053305,0.009930460415627174,-0.0062654594454405466,5,0.8,24.415398678147294,0.37037037037037035
6,random_forest,0.46715328467153283,0.4961751662971175,0.034006118623133075,-0.020874324058789973,11,0.6363636363636364,2.2772888320376454,0.7043795620437956
6,xgboost,0.49635036496350365,0.5345343680709533,0.03152572425217959,-0.022636358079952124,13,0.6153846153846154,2.2374670373051884,0.8065693430656934
6,lightgbm,0.46715328467153283,0.5170177383592018,0.037988735900622794,-0.02087432405878986,12,0.75,2.610048354003147,0.7773722627737226
6,catboost,0.4781021897810219,0.5084257206208426,0.03844458264529904,-0.022636358079952013,14,0.7142857142857143,2.5592453689528565,0.8795620437956204
