fold,policy,position_percent,scenario,final_value,total_return,maximum_drawdown,return_to_drawdown,downside_deviation,trades,win_rate,profit_factor,longest_losing_streak,average_losing_trade,worst_losing_trade
1,fixed_10,0.1,base,10344.4295595662,0.03444295595662017,-0.009816428031113267,3.5087055950955763,0.0010202914397811347,14,0.5714285714285714,4.5656559628344455,2,-0.015938557484928017,-0.03466308360848552
1,fixed_10,0.1,double_slippage,10329.651464606075,0.03296514646060755,-0.009909462177340789,3.326633259268746,0.001018778272682805,14,0.5714285714285714,4.217233805198723,2,-0.01692212763415358,-0.03562793857981876
1,fixed_12_5,0.125,base,10431.614880556213,0.043161488055621255,-0.01225111667681067,3.523065626933322,0.0012742607723459029,14,0.5714285714285714,4.565655962834438,2,-0.01593855748492805,-0.034663083608485475
1,fixed_12_5,0.125,double_slippage,10413.001912851312,0.04130019128513118,-0.012367331131456938,3.3394586791714533,0.0012723920613332033,14,0.5714285714285714,4.217233805198732,2,-0.01692212763415354,-0.035627938579818656
1,fixed_15,0.15,base,10519.232597737173,0.05192325977371737,-0.014678111409660466,3.5374618930568844,0.0015277946501884331,14,0.5714285714285714,4.565655962834447,2,-0.015938557484928038,-0.034663083608485336
1,fixed_15,0.15,double_slippage,10496.727888772082,0.04967278887720816,-0.014817474567451638,3.3523113976736902,0.0015255793882696695,14,0.5714285714285714,4.217233805198713,2,-0.01692212763415359,-0.03562793857981879
2,fixed_10,0.1,base,10039.709733721924,0.003970973372192432,-0.01675240358924679,0.23703902255204518,0.001016142865328327,12,0.6666666666666666,1.217524016670655,2,-0.04663699513942017,-0.06142247699293744
2,fixed_10,0.1,double_slippage,10027.639815973826,0.0027639815973825588,-0.017133120727226503,0.16132388497037048,0.0010172696579726888,12,0.6666666666666666,1.1499483573357208,2,-0.047589882177205306,-0.062360585930529976
2,fixed_12_5,0.125,base,10049.364181207506,0.004936418120750519,-0.020910696688215658,0.23607143245172052,0.001269845189070458,12,0.6666666666666666,1.2175240166706567,2,-0.046636995139420184,-0.06142247699293744
2,fixed_12_5,0.125,double_slippage,10034.266088894306,0.0034266088894305824,-0.021384963031780835,0.16023450142692303,0.0012712682923293897,12,0.6666666666666666,1.1499483573357239,2,-0.047589882177205264,-0.06236058593052988
2,fixed_15,0.15,base,10058.908747850128,0.005890874785012823,-0.025057096992178063,0.23509805572655704,0.0015234164624274029,12,0.6666666666666666,1.2175240166706562,2,-0.046636995139420184,-0.0614224769929374
2,fixed_15,0.15,double_slippage,10040.778372597475,0.004077837259747419,-0.025624265200738905,0.1591396759205345,0.0015251417086914268,12,0.6666666666666666,1.1499483573357245,2,-0.047589882177205306,-0.0623605859305299
3,fixed_10,0.1,base,9877.766965701761,-0.012223303429823917,-0.02238403017999413,-0.5460725048855846,0.0008930709710617305,14,0.35714285714285715,0.5651179050586436,4,-0.031203589712041107,-0.06159404381615175
3,fixed_10,0.1,double_slippage,9864.063871885635,-0.01359361281143645,-0.02295423983872935,-0.5922048783554461,0.000895241811328115,14,0.35714285714285715,0.5303013763990129,4,-0.03217190245011642,-0.06253198127257605
3,fixed_12_5,0.125,base,9847.178702500305,-0.015282129749969453,-0.02791548520541043,-0.5474427414576177,0.001116259337170894,14,0.35714285714285715,0.5651179050586453,4,-0.03120358971204107,-0.06159404381615168
3,fixed_12_5,0.125,double_slippage,9830.102287285554,-0.01698977127144463,-0.028624697026527257,-0.5935354094996976,0.0011189840554043868,14,0.35714285714285715,0.5303013763990129,4,-0.032171902450116446,-0.06253198127257625
3,fixed_15,0.15,base,9816.57964455186,-0.01834203554481395,-0.03342131499657108,-0.5488125032391988,0.001339417422372633,14,0.35714285714285715,0.5651179050586463,4,-0.031203589712041076,-0.06159404381615178
3,fixed_15,0.15,double_slippage,9796.150886466286,-0.020384911353371393,-0.034268126148231826,-0.5948650727265756,0.001342700493563563,14,0.35714285714285715,0.5303013763990138,4,-0.032171902450116446,-0.06253198127257611
4,fixed_10,0.1,base,10151.404105504427,0.015140410550442684,-0.00968629495896367,1.5630755221253914,0.000755237727646567,14,0.5714285714285714,3.8421850657432275,2,-0.008836480048927913,-0.03178457628958409
4,fixed_10,0.1,double_slippage,10137.07179955073,0.013707179955072979,-0.010249642682436222,1.3373324690197825,0.0007577699396942805,14,0.5714285714285714,3.3157928577409623,2,-0.009827148729872809,-0.03275230833113942
4,fixed_12_5,0.125,base,10189.478525443854,0.018947852544385357,-0.01209934343055652,1.566023202261797,0.0009437609529481481,14,0.5714285714285714,3.8421850657432475,2,-0.008836480048927885,-0.03178457628958391
4,fixed_12_5,0.125,double_slippage,10171.503890455968,0.017150389045596848,-0.012801647810915084,1.3397016773867103,0.0009469381410631245,14,0.5714285714285714,3.3157928577409623,2,-0.009827148729872818,-0.03275230833113952
