rank,strategy_key,strategy_name,role,symbol,source_report,score,return_percent,drawdown_percent,profit_factor,consistency_percent,trade_count,status,parameters_json
1,reports/scanner/championship_scanner_v1.json|Unknown Strategy|AMZN|{},Unknown Strategy,LONG,AMZN,reports/scanner/championship_scanner_v1.json,90.0836,0.0,0.0,0.0,0.0,0,RESEARCH,{}
2,reports/scanner/championship_scanner_v1.json|Unknown Strategy|SPY|{},Unknown Strategy,LONG,SPY,reports/scanner/championship_scanner_v1.json,67.1776,0.0,0.0,0.0,0.0,0,RESEARCH,{}
3,reports/scanner/championship_scanner_v1.json|Unknown Strategy|IWM|{},Unknown Strategy,LONG,IWM,reports/scanner/championship_scanner_v1.json,59.0788,0.0,0.0,0.0,0.0,0,RESEARCH,{}
4,"reports/strategy_research_arena.json|ARENA-0036|MULTI|{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Trend"", ""sensitivity"": 1.0, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}",ARENA-0036,LONG,MULTI,reports/strategy_research_arena.json,53.8352,8.9048,1.1961,2.3366,0.0,61,FINALIST,"{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Trend"", ""sensitivity"": 1.0, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}"
5,"reports/strategy_research_arena.json|ARENA-0033|MULTI|{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.0, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}",ARENA-0033,LONG,MULTI,reports/strategy_research_arena.json,53.2197,8.7104,1.1961,2.3082,0.0,61,FINALIST,"{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.0, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}"
6,"reports/strategy_research_arena.json|ARENA-0081|MULTI|{""atr_period"": 14, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}",ARENA-0081,LONG,MULTI,reports/strategy_research_arena.json,53.0156,8.5872,2.1475,2.476,0.0,48,FINALIST,"{""atr_period"": 14, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}"
7,"reports/strategy_research_arena.json|ARENA-0240|MULTI|{""atr_period"": 14, ""filter_set"": ""RSI"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}",ARENA-0240,LONG,MULTI,reports/strategy_research_arena.json,52.9049,7.2641,1.7134,2.7255,0.0,35,FINALIST,"{""atr_period"": 14, ""filter_set"": ""RSI"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}"
8,"reports/strategy_research_arena.json|ARENA-0807|MULTI|{""atr_period"": 14, ""filter_set"": ""EMA200+RSI"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}",ARENA-0807,LONG,MULTI,reports/strategy_research_arena.json,52.9049,7.2641,1.7134,2.7255,0.0,35,FINALIST,"{""atr_period"": 14, ""filter_set"": ""EMA200+RSI"", ""max_bars_held"": 20, ""risk_profile"": ""Trend"", ""sensitivity"": 1.2, ""stop_loss_percent"": 4.0, ""take_profit_percent"": 10.0}"
9,"reports/strategy_research_arena.json|ARENA-0031|MULTI|{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 20, ""risk_profile"": ""Balanced"", ""sensitivity"": 1.0, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}",ARENA-0031,LONG,MULTI,reports/strategy_research_arena.json,52.7448,8.5131,1.1468,2.2874,0.0,61,FINALIST,"{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 20, ""risk_profile"": ""Balanced"", ""sensitivity"": 1.0, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}"
10,"reports/strategy_research_arena.json|ARENA-0034|MULTI|{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Balanced"", ""sensitivity"": 1.0, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}",ARENA-0034,LONG,MULTI,reports/strategy_research_arena.json,52.7448,8.5131,1.1468,2.2874,0.0,61,FINALIST,"{""atr_period"": 7, ""filter_set"": ""Original"", ""max_bars_held"": 30, ""risk_profile"": ""Balanced"", ""sensitivity"": 1.0, ""stop_loss_percent"": 3.0, ""take_profit_percent"": 8.0}"
