rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_test_return_percent,mean_test_return_percent,worst_test_return_percent,median_drawdown_percent,worst_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score,status
1,MM-0013,Original,0.8,14,10,Balanced,3.0,8.0,9,8,2.7514,2.8802,-1.3495,1.7784,4.8355,1.5328,42.0,88.89,36.5173,MULTI_MARKET_FINALIST
2,MM-0007,Original,0.8,10,10,Balanced,3.0,8.0,9,8,2.8088,2.6085,-1.2062,1.7045,4.8355,1.4438,42.0,88.89,35.7882,MULTI_MARKET_FINALIST
3,MM-0015,Original,0.8,14,20,Balanced,3.0,8.0,9,8,2.4987,2.8901,-2.1608,1.9879,4.8355,1.5316,42.0,88.89,34.8416,MULTI_MARKET_FINALIST
4,MM-0017,Original,0.8,14,30,Balanced,3.0,8.0,9,8,2.4987,2.8396,-2.1608,1.9879,4.8355,1.5316,42.0,88.89,34.7659,MULTI_MARKET_FINALIST
5,MM-0121,RSI,0.8,14,10,Balanced,3.0,8.0,9,7,1.997,2.4905,-0.9487,1.4807,3.19,1.6423,28.0,77.78,33.8931,MULTI_MARKET_FINALIST
6,MM-0009,Original,0.8,10,20,Balanced,3.0,8.0,9,8,2.5253,2.635,-2.0547,2.2955,4.8355,1.4597,42.0,88.89,33.5818,MULTI_MARKET_FINALIST
7,MM-0011,Original,0.8,10,30,Balanced,3.0,8.0,9,8,2.5253,2.5845,-2.0547,2.2955,4.8355,1.4597,42.0,88.89,33.506,MULTI_MARKET_FINALIST
8,MM-0001,Original,0.8,7,10,Balanced,3.0,8.0,9,7,2.5407,2.4279,-1.2727,1.8614,4.8355,1.5105,43.0,77.78,32.7391,MULTI_MARKET_FINALIST
9,MM-0115,RSI,0.8,10,10,Balanced,3.0,8.0,9,7,2.0539,2.1204,-0.6805,1.4523,3.2227,1.5076,27.0,77.78,32.6585,MULTI_MARKET_FINALIST
10,MM-0499,EMA200+RSI,0.8,14,10,Balanced,3.0,8.0,9,7,1.6216,2.2238,-0.4241,1.2623,3.19,1.496,26.0,77.78,31.9175,MULTI_MARKET_FINALIST
11,MM-0003,Original,0.8,7,20,Balanced,3.0,8.0,9,7,2.5672,2.1382,-1.8956,2.1027,4.8355,1.4345,43.0,77.78,30.947,MULTI_MARKET_FINALIST
12,MM-0005,Original,0.8,7,30,Balanced,3.0,8.0,9,7,2.5672,2.1078,-1.8956,2.1027,4.8355,1.4345,43.0,77.78,30.9013,MULTI_MARKET_FINALIST
13,MM-0016,Original,0.8,14,20,Trend,4.0,10.0,9,7,2.7214,2.5989,-2.1608,2.4013,6.5048,1.4247,42.0,77.78,30.5408,MULTI_MARKET_FINALIST
