candidate_id,sensitivity,atr_period,max_bars_held,stop_loss_percent,take_profit_percent,symbols_tested,symbols_passed,median_return_percent,median_drawdown_percent,median_profit_factor,median_trade_count,consistency_percent,score
SHORT-0028,0.6,10,5,2.0,4.0,7,1,0.8016,0.324,2.9764,5.0,14.29,28.4335
SHORT-0037,0.6,10,10,2.0,4.0,7,1,0.8016,0.324,2.6691,5.0,14.29,25.9749
SHORT-0046,0.6,10,20,2.0,4.0,7,1,0.8016,0.324,2.6691,5.0,14.29,25.9749
SHORT-0029,0.6,10,5,2.0,6.0,7,1,0.7915,0.324,2.7005,5.0,14.29,25.1261
SHORT-0034,0.6,10,5,4.0,4.0,7,1,0.8016,0.4,2.6469,5.0,14.29,24.777
SHORT-0043,0.6,10,10,4.0,4.0,7,1,0.8016,0.4,2.6469,5.0,14.29,24.777
SHORT-0052,0.6,10,20,4.0,4.0,7,1,0.8016,0.4,2.6469,5.0,14.29,24.777
SHORT-0007,0.6,7,5,4.0,4.0,7,1,0.7698,0.4,2.6469,4.0,14.29,24.6817
SHORT-0035,0.6,10,5,4.0,6.0,7,1,0.8419,0.4,2.6107,5.0,14.29,24.136
SHORT-0016,0.6,7,10,4.0,4.0,7,1,0.5776,0.4,2.6469,4.0,14.29,24.105
SHORT-0025,0.6,7,20,4.0,4.0,7,1,0.5776,0.4,2.6469,4.0,14.29,24.105
SHORT-0120,0.8,7,10,2.0,8.0,7,0,0.5628,0.45,3.0112,4.0,0.0,23.9901
SHORT-0129,0.8,7,20,2.0,8.0,7,0,0.5628,0.45,3.0112,4.0,0.0,23.9901
SHORT-0044,0.6,10,10,4.0,6.0,7,1,0.7032,0.438,2.6107,5.0,14.29,23.6628
SHORT-0384,1.2,14,5,3.0,8.0,7,1,0.4976,0.3454,2.6455,2.0,14.29,23.5135
SHORT-0008,0.6,7,5,4.0,6.0,7,1,0.7956,0.4,2.6107,4.0,14.29,23.2668
SHORT-0411,1.2,20,5,3.0,8.0,7,1,0.4976,0.5498,2.6455,2.0,14.29,23.207
SHORT-0030,0.6,10,5,2.0,8.0,7,0,0.5697,0.324,2.8787,5.0,0.0,23.1755
SHORT-0393,1.2,14,10,3.0,8.0,7,1,0.4976,0.3454,2.6455,2.0,14.29,23.1396
SHORT-0402,1.2,14,20,3.0,8.0,7,1,0.4976,0.3454,2.6455,2.0,14.29,23.1396
SHORT-0085,0.6,20,5,3.0,4.0,7,1,0.7001,0.3603,2.39,7.0,14.29,23.0799
SHORT-0094,0.6,20,10,3.0,4.0,7,1,0.7001,0.3603,2.39,7.0,14.29,23.0799
SHORT-0103,0.6,20,20,3.0,4.0,7,1,0.7001,0.3603,2.39,7.0,14.29,23.0799
SHORT-0017,0.6,7,10,4.0,6.0,7,1,0.7032,0.4,2.6107,4.0,14.29,22.9896
SHORT-0026,0.6,7,20,4.0,6.0,7,1,0.7032,0.4,2.6107,4.0,14.29,22.9896
SHORT-0039,0.6,10,10,2.0,8.0,7,0,0.5697,0.4301,2.8655,5.0,0.0,22.9112
SHORT-0048,0.6,10,20,2.0,8.0,7,0,0.5697,0.4301,2.8655,5.0,0.0,22.9112
SHORT-0420,1.2,20,10,3.0,8.0,7,1,0.4976,0.5498,2.6455,2.0,14.29,22.8331
SHORT-0429,1.2,20,20,3.0,8.0,7,1,0.4976,0.5498,2.6455,2.0,14.29,22.8331
SHORT-0055,0.6,14,5,2.0,4.0,7,1,0.7997,0.324,2.2535,6.0,14.29,22.6445
SHORT-0038,0.6,10,10,2.0,6.0,7,1,0.7915,0.4301,2.334,5.0,14.29,22.0347
SHORT-0036,0.6,10,5,4.0,8.0,7,1,0.6444,0.4,2.3135,5.0,14.29,21.4575
SHORT-0064,0.6,14,10,2.0,4.0,7,1,0.7997,0.324,2.0206,6.0,14.29,20.7812
SHORT-0073,0.6,14,20,2.0,4.0,7,1,0.7997,0.324,2.0206,6.0,14.29,20.7812
SHORT-0045,0.6,10,10,4.0,8.0,7,1,0.4957,0.5649,2.3135,5.0,14.29,20.7639
SHORT-0054,0.6,10,20,4.0,8.0,7,1,0.4957,0.5649,2.3135,5.0,14.29,20.7639
SHORT-0053,0.6,10,20,4.0,6.0,7,1,0.7032,0.438,2.2094,5.0,14.29,20.452
SHORT-0357,1.2,10,5,3.0,8.0,7,0,0.4976,0.3454,2.6455,2.0,0.0,20.4358
SHORT-0047,0.6,10,20,2.0,6.0,7,1,0.5505,0.4301,2.2231,5.0,14.29,20.4248
SHORT-0061,0.6,14,5,4.0,4.0,7,1,0.8016,0.4007,2.0746,6.0,14.29,20.3573
SHORT-0339,1.2,7,10,3.0,8.0,7,0,0.4976,0.3454,2.6455,2.0,0.0,20.2825
SHORT-0348,1.2,7,20,3.0,8.0,7,0,0.4976,0.3454,2.6455,2.0,0.0,20.2825
SHORT-0031,0.6,10,5,3.0,4.0,7,1,0.8016,0.333,2.0049,5.0,14.29,20.1902
SHORT-0056,0.6,14,5,2.0,6.0,7,1,0.8059,0.324,2.0757,6.0,14.29,20.1702
SHORT-0001,0.6,7,5,2.0,4.0,7,1,0.6324,0.28,1.992,4.0,14.29,20.1169
SHORT-0366,1.2,10,10,3.0,8.0,7,0,0.4976,0.3454,2.6455,2.0,0.0,20.0631
SHORT-0375,1.2,10,20,3.0,8.0,7,0,0.4976,0.3454,2.6455,2.0,0.0,20.0631
