strategy_name,role,symbol,hall_status,research_score,live_score,learning_score,evidence_strength,evidence_label,research_weight,live_weight,live_trade_count,live_wins,live_losses,live_win_rate_percent,live_total_pnl_dollars,live_profit_factor,live_expectancy_percent,hall_score,hall_profit_factor,hall_drawdown_percent,hall_consistency_percent,hall_return_percent,learning_status,recommendation,suggested_allocation_multiplier,reasons
MM-0013,LONG,MULTI,MULTI_MARKET_FINALIST,76.761,50.0,76.761,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,36.5173,1.5328,1.7784,88.89,2.7514,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0007,LONG,MULTI,MULTI_MARKET_FINALIST,75.3206,50.0,75.3206,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,35.7882,1.4438,1.7045,88.89,2.8088,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0015,LONG,MULTI,MULTI_MARKET_FINALIST,74.9294,50.0,74.9294,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,34.8416,1.5316,1.9879,88.89,2.4987,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0017,LONG,MULTI,MULTI_MARKET_FINALIST,74.8745,50.0,74.8745,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,34.7659,1.5316,1.9879,88.89,2.4987,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0121,LONG,MULTI,MULTI_MARKET_FINALIST,72.8789,50.0,72.8789,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,33.8931,1.6423,1.4807,77.78,1.997,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0009,LONG,MULTI,MULTI_MARKET_FINALIST,72.7931,50.0,72.7931,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,33.5818,1.4597,2.2955,88.89,2.5253,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
MM-0011,LONG,MULTI,MULTI_MARKET_FINALIST,72.7384,50.0,72.7384,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,33.506,1.4597,2.2955,88.89,2.5253,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0036,LONG,MULTI,FINALIST,72.0737,50.0,72.0737,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,53.8352,2.3366,1.1961,0.0,8.9048,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0033,LONG,MULTI,FINALIST,71.8197,50.0,71.8197,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,53.2197,2.3082,1.1961,0.0,8.7104,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0031,LONG,MULTI,FINALIST,71.6219,50.0,71.6219,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.7448,2.2874,1.1468,0.0,8.5131,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
ARENA-0034,LONG,MULTI,FINALIST,71.6219,50.0,71.6219,0.0,NO_LIVE_EVIDENCE,1.0,0.0,0,0,0,0.0,0.0,0.0,0.0,52.7448,2.2874,1.1468,0.0,8.5131,RESEARCH_PRIOR_ONLY,HOLD,1.0,"No closed shadow trades exist for this strategy yet. | Research/backtest evidence is being used as a prior, but no live shadow-learning adjustment should be made yet."
