rank,candidate_id,filter_set,sensitivity,atr_period,max_bars_held,risk_profile,stop_loss_percent,take_profit_percent,train_return_percent,test_return_percent,test_drawdown_percent,test_profit_factor,test_win_rate,test_trade_count,robustness_ratio,score,status
1,ARENA-0036,Original,1.0,7,30,Trend,4.0,10.0,2.1443,8.9048,1.1961,2.3366,44.2623,61,4.1528,53.8352,FINALIST
2,ARENA-0033,Original,1.0,7,20,Trend,4.0,10.0,2.7767,8.7104,1.1961,2.3082,44.2623,61,3.1369,53.2197,FINALIST
3,ARENA-0081,Original,1.2,14,30,Trend,4.0,10.0,2.0239,8.5872,2.1475,2.476,47.9167,48,4.243,53.0156,FINALIST
4,ARENA-0240,RSI,1.2,14,20,Trend,4.0,10.0,3.2935,7.2641,1.7134,2.7255,45.7143,35,2.2056,52.9049,FINALIST
5,ARENA-0807,EMA200+RSI,1.2,14,20,Trend,4.0,10.0,1.2219,7.2641,1.7134,2.7255,45.7143,35,5.9452,52.9049,FINALIST
6,ARENA-0031,Original,1.0,7,20,Balanced,3.0,8.0,2.8116,8.5131,1.1468,2.2874,44.2623,61,3.0279,52.7448,FINALIST
7,ARENA-0034,Original,1.0,7,30,Balanced,3.0,8.0,2.1789,8.5131,1.1468,2.2874,44.2623,61,3.9071,52.7448,FINALIST
8,ARENA-0045,Original,1.0,10,30,Trend,4.0,10.0,2.5682,8.9092,1.7676,2.2754,46.6667,60,3.469,52.5952,FINALIST
9,ARENA-0040,Original,1.0,10,20,Balanced,3.0,8.0,3.2383,8.5316,1.2791,2.233,46.6667,60,2.6346,52.3553,FINALIST
10,ARENA-0043,Original,1.0,10,30,Balanced,3.0,8.0,2.603,8.5316,1.2791,2.233,46.6667,60,3.2776,52.3553,FINALIST
11,ARENA-0079,Original,1.2,14,30,Balanced,3.0,8.0,1.6391,8.0187,1.8024,2.4222,47.9167,48,4.8922,52.0523,FINALIST
12,ARENA-0042,Original,1.0,10,20,Trend,4.0,10.0,3.2034,8.7149,1.7676,2.2486,46.6667,60,2.7206,51.9916,FINALIST
13,ARENA-0078,Original,1.2,14,20,Trend,4.0,10.0,2.8734,8.2607,2.1475,2.4254,47.9167,48,2.8749,51.9583,FINALIST
14,ARENA-0054,Original,1.0,14,30,Trend,4.0,10.0,1.4715,8.6827,1.7676,2.2201,47.541,61,5.9007,51.7869,FINALIST
15,ARENA-0049,Original,1.0,14,20,Balanced,3.0,8.0,1.2881,8.3059,1.2791,2.1781,47.541,61,6.4482,51.552,FINALIST
16,ARENA-0052,Original,1.0,14,30,Balanced,3.0,8.0,1.3272,8.3059,1.2791,2.1781,47.541,61,6.2584,51.552,FINALIST
17,ARENA-0198,RSI,1.0,7,30,Trend,4.0,10.0,0.1373,6.8005,1.2684,2.6081,42.8571,42,49.5358,51.5316,FINALIST
18,ARENA-0153,EMA200,1.2,10,30,Trend,4.0,10.0,0.6303,7.6585,1.7417,2.4204,45.6522,46,12.1497,51.1974,FINALIST
19,ARENA-0051,Original,1.0,14,20,Trend,4.0,10.0,1.2966,8.4888,1.7676,2.1938,47.541,61,6.547,51.1884,FINALIST
20,ARENA-0243,RSI,1.2,14,30,Trend,4.0,10.0,2.4405,6.7891,1.7134,2.6145,45.7143,35,2.7818,51.0668,FINALIST
21,ARENA-0810,EMA200+RSI,1.2,14,30,Trend,4.0,10.0,1.6148,6.7891,1.7134,2.6145,45.7143,35,4.2042,51.0668,FINALIST
22,ARENA-0231,RSI,1.2,10,20,Trend,4.0,10.0,2.198,6.885,1.7134,2.6012,44.4444,36,3.1325,51.0253,FINALIST
23,ARENA-0798,EMA200+RSI,1.2,10,20,Trend,4.0,10.0,0.4479,6.885,1.7134,2.6012,44.4444,36,15.3708,51.0253,FINALIST
24,ARENA-0180,RSI,0.8,10,30,Trend,4.0,10.0,2.3228,7.3823,1.6122,2.4259,45.098,51,3.1782,50.86,FINALIST
25,ARENA-0747,EMA200+RSI,0.8,10,30,Trend,4.0,10.0,1.1998,7.3823,1.6122,2.4259,45.098,51,6.1529,50.86,FINALIST
26,ARENA-0195,RSI,1.0,7,20,Trend,4.0,10.0,0.6544,6.61,1.2684,2.564,42.8571,42,10.1014,50.798,FINALIST
27,ARENA-0072,Original,1.2,10,30,Trend,4.0,10.0,2.8261,8.0972,2.2436,2.3542,44.898,49,2.8652,50.5919,FINALIST
28,ARENA-0241,RSI,1.2,14,30,Balanced,3.0,8.0,1.9004,6.3985,1.3537,2.5291,45.7143,35,3.367,50.232,FINALIST
29,ARENA-0808,EMA200+RSI,1.2,14,30,Balanced,3.0,8.0,0.9268,6.3985,1.3537,2.5291,45.7143,35,6.9041,50.232,FINALIST
30,ARENA-0177,RSI,0.8,10,20,Trend,4.0,10.0,2.4513,7.1906,1.6122,2.3899,45.098,51,2.9334,50.1886,FINALIST
31,ARENA-0744,EMA200+RSI,0.8,10,20,Trend,4.0,10.0,1.3269,7.1906,1.6122,2.3899,45.098,51,5.4191,50.1886,FINALIST
32,ARENA-0189,RSI,0.8,14,30,Trend,4.0,10.0,1.573,7.0889,1.6122,2.3867,47.1698,53,4.5066,50.1666,FINALIST
33,ARENA-0756,EMA200+RSI,0.8,14,30,Trend,4.0,10.0,0.698,7.0889,1.6122,2.3867,47.1698,53,10.1566,50.1666,FINALIST
34,ARENA-0150,EMA200,1.2,10,20,Trend,4.0,10.0,0.2412,7.3348,1.7417,2.366,45.6522,46,30.4143,50.1148,FINALIST
35,ARENA-0168,RSI,0.8,7,20,Trend,4.0,10.0,2.3028,6.7285,1.6122,2.4778,46.0,50,2.9219,50.0581,FINALIST
36,ARENA-0171,RSI,0.8,7,30,Trend,4.0,10.0,2.1744,6.7285,1.6122,2.4778,46.0,50,3.0943,50.0581,FINALIST
37,ARENA-0735,EMA200+RSI,0.8,7,20,Trend,4.0,10.0,1.18,6.7285,1.6122,2.4778,46.0,50,5.702,50.0581,FINALIST
38,ARENA-0738,EMA200+RSI,0.8,7,30,Trend,4.0,10.0,1.0531,6.7285,1.6122,2.4778,46.0,50,6.3893,50.0581,FINALIST
39,ARENA-0080,Original,1.2,14,30,Conservative,2.0,6.0,4.1385,6.7824,1.5779,2.4221,47.9167,48,1.6388,49.9719,FINALIST
40,ARENA-0242,RSI,1.2,14,30,Conservative,2.0,6.0,3.4587,5.494,1.005,2.6293,45.7143,35,1.5884,49.835,FINALIST
41,ARENA-0809,EMA200+RSI,1.2,14,30,Conservative,2.0,6.0,1.7997,5.494,1.005,2.6293,45.7143,35,3.0527,49.835,FINALIST
42,ARENA-0070,Original,1.2,10,30,Balanced,3.0,8.0,2.1355,7.5381,1.8988,2.3,44.898,49,3.5299,49.6429,FINALIST
43,ARENA-0018,Original,0.8,10,30,Trend,4.0,10.0,4.0711,8.5478,2.1045,2.0601,46.5753,73,2.0996,49.5512,FINALIST
44,ARENA-0069,Original,1.2,10,20,Trend,4.0,10.0,3.7886,7.7722,2.2436,2.3052,44.898,49,2.0514,49.5493,FINALIST
45,ARENA-0076,Original,1.2,14,20,Balanced,3.0,8.0,2.4681,7.256,1.8024,2.2937,47.9167,48,2.9399,49.4987,FINALIST
46,ARENA-0186,RSI,0.8,14,20,Trend,4.0,10.0,1.7006,6.8978,1.6122,2.3503,47.1698,53,4.0561,49.4935,FINALIST
47,ARENA-0753,EMA200+RSI,0.8,14,20,Trend,4.0,10.0,0.8245,6.8978,1.6122,2.3503,47.1698,53,8.3665,49.4935,FINALIST
48,ARENA-0047,Original,1.0,14,10,Conservative,2.0,6.0,4.579,7.0062,1.2063,2.212,47.541,61,1.5301,49.3515,FINALIST
49,ARENA-0234,RSI,1.2,10,30,Trend,4.0,10.0,0.7962,6.4117,1.7134,2.4928,44.4444,36,8.0526,49.2115,FINALIST
50,ARENA-0801,EMA200+RSI,1.2,10,30,Trend,4.0,10.0,0.8379,6.4117,1.7134,2.4928,44.4444,36,7.652,49.2115,FINALIST
51,ARENA-0238,RSI,1.2,14,20,Balanced,3.0,8.0,2.7316,6.1227,1.3537,2.4662,45.7143,35,2.2415,49.1777,FINALIST
52,ARENA-0805,EMA200+RSI,1.2,14,20,Balanced,3.0,8.0,0.6712,6.1227,1.3537,2.4662,45.7143,35,9.122,49.1777,FINALIST
53,ARENA-0015,Original,0.8,10,20,Trend,4.0,10.0,4.2018,8.3541,2.1045,2.0369,46.5753,73,1.9882,48.9783,FINALIST
54,ARENA-0027,Original,0.8,14,30,Trend,4.0,10.0,2.971,8.2512,2.1045,2.0332,48.0,75,2.7772,48.8848,FINALIST
55,ARENA-0161,EMA200,1.2,14,30,Conservative,2.0,6.0,0.8603,6.1271,1.3053,2.3874,46.6667,45,7.1219,48.7359,FINALIST
56,ARENA-0022,Original,0.8,14,20,Balanced,3.0,8.0,3.5531,7.8763,1.7034,1.9975,48.0,75,2.2167,48.5515,FINALIST
57,ARENA-0025,Original,0.8,14,30,Balanced,3.0,8.0,3.4232,7.8763,1.7034,1.9975,48.0,75,2.3008,48.5515,FINALIST
58,ARENA-0232,RSI,1.2,10,30,Balanced,3.0,8.0,0.2648,6.0293,1.3537,2.4107,44.4444,36,22.7709,48.4194,FINALIST
59,ARENA-0799,EMA200+RSI,1.2,10,30,Balanced,3.0,8.0,0.1551,6.0293,1.3537,2.4107,44.4444,36,38.8707,48.4194,FINALIST
60,ARENA-0207,RSI,1.0,10,30,Trend,4.0,10.0,0.4142,6.415,1.6097,2.3967,41.4634,41,15.4867,48.3331,FINALIST
61,ARENA-0024,Original,0.8,14,20,Trend,4.0,10.0,3.1004,8.0581,2.1045,2.0098,48.0,75,2.5991,48.3117,FINALIST
62,ARENA-0013,Original,0.8,10,20,Balanced,3.0,8.0,4.6595,7.8521,1.7034,1.9867,46.5753,73,1.6852,48.2745,FINALIST
